iter	Passed	Remaining
366	3223	5560
367	3232	5551
368	3240	5541
369	3249	5532
370	3257	5522
371	3265	5512
372	3274	5503
373	3282	5493
374	3291	5486
375	3300	5477
376	3308	5467
377	3317	5458
378	3325	5448
379	3333	5438
380	3341	5428
381	3349	5419
382	3358	5409
383	3366	5401
384	3375	5391
385	3383	5381
386	3391	5372
387	3399	5362
388	3408	5354
389	3417	5344
390	3425	5335
391	3434	5326
392	3442	5317
393	3450	5307
394	3459	5298
395	3467	5288
396	3475	5279
397	3484	5269
398	3492	5260
399	3500	5250
400	3508	5240
401	3516	5231
402	3525	5222
403	3536	5217
404	3545	5208
405	3553	5199
406	3562	5190
407	3570	5181
408	3579	5172
409	3587	5163
410	3600	5159
411	3611	5154
